word,positive_index
중장거리,0.5416666666666666
상승세,0.6268656716417911
필리핀,0.21951219512195122
대형기,0.6140350877192983
기울이,0.34831460674157305
기대치,0.547945205479452
밀리터리,0.4157303370786517
피카소,0.0
유럽연합,0.31313131313131315
송승현,0.546875
화물칸,0.4318181818181818
애플리케이션,0.5116279069767442
어려울,0.5138888888888888
중고도,0.35185185185185186
회복세,0.5342465753424658
늘어나,0.5588235294117647
기울여,0.2558139534883721
자산운용,0.09523809523809523
작업자,1.0
백화점,0.1875
리스크,0.48717948717948717
산업체,0.8656716417910447
스포트,0.35789473684210527
물동량,0.6086956521739131
원호연,0.3170731707317073
고품격,0.4266666666666667
아마존,0.640625
강달호,0.0
프로모션,0.6451612903225806
호놀룰루,0.13333333333333333
급강하,0.0
스케줄,0.1506849315068493
